# image_id qw qx qy qz Cx Cy Cz camera_id name cluster_label
302 0.51149512 -0.04979876 0.84574209 0.14357280 2.63928338 0.46987544 1.64869959 1 frame_00302.png 1
45 0.74384042 -0.00484052 -0.62765247 -0.22963098 -3.39340670 -0.17089382 0.19669396 1 frame_00045.png 1
303 0.48969092 -0.04305058 0.85910640 0.14242771 2.51262802 0.35740804 1.90611838 1 frame_00303.png 1
46 0.76080702 -0.00737448 -0.61045681 -0.22013806 -3.35315122 -0.09222462 -0.06115827 1 frame_00046.png 1
304 0.47813462 -0.03931675 0.86577417 0.14239581 2.45174929 0.31100476 2.00943903 1 frame_00304.png 1
47 0.77198813 -0.00792150 -0.59796254 -0.21543533 -3.34404164 -0.02125378 -0.24726276 1 frame_00047.png 1
305 0.45817222 -0.03304902 0.87676914 0.14234413 2.32935651 0.25750057 2.22896794 1 frame_00305.png 1
48 0.78896670 -0.01152608 -0.57902316 -0.20525807 -3.30378140 0.06637036 -0.52868133 1 frame_00048.png 1
306 0.44022244 -0.02783125 0.88592708 0.14339745 2.21877752 0.18605035 2.43288380 1 frame_00306.png 1
49 0.79921984 -0.01405926 -0.56699659 -0.19890912 -3.21896795 0.13922586 -0.69788958 1 frame_00049.png 1
307 0.42561730 -0.02445849 0.89302280 0.14409016 2.13917579 0.14363476 2.56636608 1 frame_00307.png 1
50 0.80902078 -0.01623808 -0.55456866 -0.19410126 -3.11598447 0.18728423 -0.86066958 1 frame_00050.png 1
308 0.39257302 -0.01890687 0.90796467 0.14535854 1.93522829 0.00859425 2.85182690 1 frame_00308.png 1
51 0.82020058 -0.02016465 -0.54067554 -0.18583420 -2.99239925 0.25086909 -1.12074443 1 frame_00051.png 1
309 0.37119722 -0.01608977 0.91656080 0.14788525 1.79951599 -0.03279495 2.98970157 1 frame_00309.png 1
52 0.82847863 -0.02029413 -0.52931381 -0.18176410 -2.89834086 0.33739504 -1.37481299 1 frame_00052.png 1
68 0.96839929 -0.01028459 -0.23356737 -0.08685229 -0.75634485 1.30623648 -4.26303123 1 frame_00068.png 2
322 0.06760202 0.06497052 0.91942534 0.38192387 -0.25969692 -1.48847572 3.70062932 1 frame_00322.png 0
65 0.93525249 -0.01177802 -0.33244770 -0.12100652 -1.30405113 1.16625975 -3.80888248 1 frame_00065.png 2
67 0.95825969 -0.01096784 -0.26787022 -0.09931577 -0.94253638 1.26568598 -4.11846533 1 frame_00067.png 2
321 0.07720476 0.06243061 0.92567357 0.36506203 -0.17415674 -1.45213896 3.69020138 1 frame_00321.png 0
64 0.92282480 -0.01187847 -0.36227828 -0.13041376 -1.47172543 1.15794970 -3.66845009 1 frame_00064.png 2
66 0.94728391 -0.01186379 -0.30050818 -0.11048658 -1.13130893 1.21250699 -3.94235303 1 frame_00066.png 2
320 0.09451135 0.05495371 0.93395159 0.34026773 -0.09418448 -1.37660752 3.70418827 1 frame_00320.png 0
63 0.91070975 -0.01203289 -0.38864336 -0.13935317 -1.62931268 1.09809537 -3.54168614 1 frame_00063.png 2
319 0.11043873 0.04536258 0.94266945 0.31164054 0.03420872 -1.22929525 3.73244995 1 frame_00319.png 0
62 0.89729339 -0.01134534 -0.41529634 -0.14921394 -1.76326649 1.03291019 -3.32562906 1 frame_00062.png 1
318 0.12719058 0.03234857 0.95189910 0.27688306 0.23295679 -1.01282878 3.73266863 1 frame_00318.png 0
61 0.88848996 -0.01497056 -0.43231859 -0.15317348 -1.85638608 0.96280058 -3.15486675 1 frame_00061.png 1
317 0.14838602 0.01774062 0.95883000 0.24147854 0.39230335 -0.74217084 3.68261633 1 frame_00317.png 0
60 0.87788254 -0.01620390 -0.45130087 -0.15933363 -1.97719729 0.89755868 -2.97184865 1 frame_00060.png 1
